technology,hour,value
Temperature,696,-4.0
Temperature,697,-3.4
Temperature,698,-2.3
Temperature,699,-1.0
Temperature,700,-0.9
Temperature,701,0.3
Temperature,702,0.4
Temperature,703,0.1
Temperature,704,0.3
Temperature,705,0.6
Temperature,706,1.1
Temperature,707,1.3
Temperature,708,1.1
Temperature,709,1.9
Temperature,710,3.0
Temperature,711,3.9
Temperature,712,3.4
Temperature,713,3.3
Temperature,714,3.3
Temperature,715,3.6
Temperature,716,3.5
Temperature,717,3.4
Temperature,718,3.8
Temperature,719,3.8
Temperature,720,3.4
Temperature,721,3.0
Temperature,722,2.8
Temperature,723,2.2
Temperature,724,2.4
Temperature,725,2.5
Temperature,726,2.6
Temperature,727,2.1
Temperature,728,2.6
Temperature,729,2.9
Temperature,730,2.6
Temperature,731,3.3
Temperature,732,3.5
Temperature,733,3.1
Temperature,734,3.2
Temperature,735,3.5
Temperature,736,3.6
Temperature,737,3.5
Temperature,738,3.6
Temperature,739,3.8
Temperature,740,4.2
Temperature,741,4.3
Temperature,742,4.3
Temperature,743,4.4
Temperature,744,4.4
Temperature,745,4.6
Temperature,746,4.7
Temperature,747,4.5
Temperature,748,4.6
Temperature,749,4.3
Temperature,750,4.3
Temperature,751,4.2
Temperature,752,4.4
Temperature,753,5.6
Temperature,754,5.8
Temperature,755,5.3
Temperature,756,5.9
Temperature,757,6.1
Temperature,758,6.3
Temperature,759,6.1
Temperature,760,6.1
Temperature,761,6.0
Temperature,762,5.1
Temperature,763,5.4
Temperature,764,4.8
Temperature,765,5.5
Temperature,766,5.4
Temperature,767,3.1
Temperature,768,2.4
Temperature,769,1.0
Temperature,770,1.1
Temperature,771,1.7
Temperature,772,2.0
Temperature,773,2.4
Temperature,774,2.6
Temperature,775,3.1
Temperature,776,3.3
Temperature,777,2.9
Temperature,778,2.8
Temperature,779,2.6
Temperature,780,2.4
Temperature,781,2.5
Temperature,782,2.5
Temperature,783,2.7
Temperature,784,2.7
Temperature,785,2.6
Temperature,786,2.4
Temperature,787,2.4
Temperature,788,2.4
Temperature,789,2.2
Temperature,790,2.4
Temperature,791,2.7
Temperature,792,5.7
Temperature,793,5.8
Temperature,794,5.9
Temperature,795,6.1
Temperature,796,6.4
Temperature,797,6.0
Temperature,798,6.0
Temperature,799,6.2
Temperature,800,6.4
Temperature,801,6.7
Temperature,802,7.0
Temperature,803,7.2
