Hour,fuels,value
1580,Coal,0.0
1581,Coal,0.0
1582,Coal,0.0
1583,Coal,0.0
1584,Coal,0.0
1585,Coal,0.0
1586,Coal,0.0
1587,Coal,0.0
1588,Coal,0.0
1589,Coal,0.0
1590,Coal,0.0
1591,Coal,0.0
1592,Coal,0.0
1593,Coal,0.0
1594,Coal,0.0
1595,Coal,0.0
1596,Coal,0.0
1597,Coal,0.0
1598,Coal,0.0
1599,Coal,0.0
1600,Coal,0.0
1601,Coal,0.0
1602,Coal,0.0
1603,Coal,0.0
1604,Coal,0.0
1605,Coal,0.0
1606,Coal,0.0
1607,Coal,0.0
1608,Coal,0.0
1609,Coal,0.0
1610,Coal,0.0
1611,Coal,0.0
1612,Coal,0.0
1613,Coal,0.0
1614,Coal,0.0
1615,Coal,0.0
1616,Coal,0.0
1617,Coal,0.0
1618,Coal,0.0
1619,Coal,0.0
1620,Coal,0.0
1621,Coal,0.0
1622,Coal,0.0
1623,Coal,0.0
1624,Coal,0.0
1625,Coal,0.0
1626,Coal,0.0
1627,Coal,0.0
1628,Coal,0.0
1629,Coal,0.0
1630,Coal,0.0
1631,Coal,0.0
1632,Coal,0.0
1633,Coal,0.0
1634,Coal,0.0
1635,Coal,0.0
1636,Coal,0.0
1637,Coal,0.0
1638,Coal,0.0
1639,Coal,0.0
1640,Coal,0.0
1641,Coal,0.0
1642,Coal,0.0
1643,Coal,0.0
1644,Coal,0.0
1645,Coal,0.0
1646,Coal,0.0
1647,Coal,0.0
1648,Coal,0.0
1649,Coal,0.0
1650,Coal,0.0
1651,Coal,0.0
1652,Coal,0.0
1653,Coal,0.0
1654,Coal,0.0
1655,Coal,0.0
1656,Coal,0.0
1657,Coal,0.0
1658,Coal,0.0
1659,Coal,0.0
1660,Coal,0.0
1661,Coal,0.0
1662,Coal,0.0
1663,Coal,0.0
1664,Coal,0.0
1665,Coal,0.0
1666,Coal,0.0
1667,Coal,0.0
1668,Coal,0.0
1669,Coal,0.0
1670,Coal,0.0
1671,Coal,0.0
1672,Coal,0.0
1673,Coal,0.0
1674,Coal,0.0
1675,Coal,0.0
1676,Coal,0.0
1677,Coal,0.0
1678,Coal,0.0
1679,Coal,0.0
1680,Coal,0.0
1681,Coal,0.0
1682,Coal,0.0
1683,Coal,0.0
1684,Coal,0.0
1685,Coal,0.0
1686,Coal,0.0
1687,Coal,0.0
1688,Coal,0.0
1689,Coal,0.0
1690,Coal,0.0
1691,Coal,0.0
1692,Coal,0.0
1693,Coal,0.0
1694,Coal,0.0
1695,Coal,0.0
1696,Coal,0.0
1697,Coal,0.0
1698,Coal,0.0
1699,Coal,0.0
1700,Coal,0.0
1701,Coal,0.0
1702,Coal,0.0
1703,Coal,0.0
1704,Coal,0.0
1705,Coal,0.0
1706,Coal,0.0
1707,Coal,0.0
1708,Coal,0.0
1709,Coal,0.0
1710,Coal,0.0
1711,Coal,0.0
1712,Coal,0.0
1713,Coal,0.0
1714,Coal,0.0
1715,Coal,0.0
1716,Coal,0.0
1717,Coal,0.0
1718,Coal,0.0
1719,Coal,0.0
1720,Coal,0.0
1721,Coal,0.0
1722,Coal,0.0
1723,Coal,0.0
1724,Coal,0.0
1725,Coal,0.0
1726,Coal,0.0
1727,Coal,0.0
1728,Coal,0.0
1729,Coal,0.0
1730,Coal,0.0
1731,Coal,0.0
1732,Coal,0.0
1733,Coal,0.0
1734,Coal,0.0
1735,Coal,0.0
1736,Coal,0.0
1737,Coal,0.0
1738,Coal,0.0
1739,Coal,0.0
1740,Coal,0.0
1741,Coal,0.0
1742,Coal,0.0
1743,Coal,0.0
1744,Coal,0.0
1745,Coal,0.0
1746,Coal,0.0
1747,Coal,0.0
1748,Coal,0.0
1749,Coal,0.0
1750,Coal,0.0
1751,Coal,0.0
1752,Coal,0.0
1753,Coal,0.0
1754,Coal,0.0
1755,Coal,0.0
1756,Coal,0.0
1757,Coal,0.0
1758,Coal,0.0
1759,Coal,0.0
1760,Coal,0.0
1761,Coal,0.0
1762,Coal,0.0
1763,Coal,0.0
1764,Coal,0.0
1765,Coal,0.0
1766,Coal,0.0
1767,Coal,0.0
1768,Coal,0.0
1769,Coal,0.0
1770,Coal,0.0
1771,Coal,0.0
1772,Coal,0.0
1773,Coal,0.0
1774,Coal,0.0
1775,Coal,0.0
1776,Coal,0.0
1777,Coal,0.0
1778,Coal,0.0
1779,Coal,0.0
1780,Coal,0.0
1781,Coal,0.0
1782,Coal,0.0
1783,Coal,0.0
1784,Coal,0.0
1785,Coal,0.0
1786,Coal,0.0
1787,Coal,0.0
1788,Coal,0.0
1789,Coal,0.0
1790,Coal,0.0
1791,Coal,0.0
1792,Coal,0.0
1793,Coal,0.0
1794,Coal,0.0
1795,Coal,0.0
1796,Coal,0.0
1797,Coal,0.0
1798,Coal,0.0
1799,Coal,0.0
1800,Coal,0.0
1801,Coal,0.0
1802,Coal,0.0
1803,Coal,0.0
1804,Coal,0.0
1805,Coal,0.0
1806,Coal,0.0
1807,Coal,0.0
1808,Coal,0.0
1809,Coal,0.0
1810,Coal,0.0
1811,Coal,0.0
1812,Coal,0.0
1813,Coal,0.0
1814,Coal,0.0
1815,Coal,0.0
1816,Coal,0.0
1817,Coal,0.0
1818,Coal,0.0
1819,Coal,0.0
1820,Coal,0.0
1821,Coal,0.0
1822,Coal,0.0
1823,Coal,0.0
1824,Coal,0.0
1825,Coal,0.0
1826,Coal,0.0
1827,Coal,0.0
1828,Coal,0.0
1829,Coal,0.0
1830,Coal,0.0
1831,Coal,0.0
1832,Coal,0.0
1833,Coal,0.0
1834,Coal,0.0
1835,Coal,0.0
1836,Coal,0.0
1837,Coal,0.0
1838,Coal,0.0
1839,Coal,0.0
1840,Coal,0.0
1841,Coal,0.0
1842,Coal,0.0
1843,Coal,0.0
1844,Coal,0.0
1845,Coal,0.0
1846,Coal,0.0
1847,Coal,0.0
1848,Coal,0.0
1849,Coal,0.0
1850,Coal,0.0
1851,Coal,0.0
1852,Coal,0.0
1853,Coal,0.0
1854,Coal,0.0
1855,Coal,0.0
1856,Coal,0.0
1857,Coal,0.0
1858,Coal,0.0
1859,Coal,0.0
1860,Coal,0.0
1861,Coal,0.0
1862,Coal,0.0
1863,Coal,0.0
1864,Coal,0.0
1865,Coal,0.0
1866,Coal,0.0
1867,Coal,0.0
1868,Coal,0.0
1869,Coal,0.0
1870,Coal,0.0
1871,Coal,0.0
1872,Coal,0.0
1873,Coal,0.0
