Hour,Technology,Fuel,value
114,CoalPowerPlant,Power,20.728823445683194
115,CoalPowerPlant,Power,16.67693374000001
116,CoalPowerPlant,Power,20.6014365
117,CoalPowerPlant,Power,0.0
118,CoalPowerPlant,Power,0.0
119,CoalPowerPlant,Power,0.0
120,CoalPowerPlant,Power,0.0
1,GasPowerPlant,Power,0.0
2,GasPowerPlant,Power,-0.0
3,GasPowerPlant,Power,0.0
4,GasPowerPlant,Power,0.0
5,GasPowerPlant,Power,0.0
6,GasPowerPlant,Power,0.0
7,GasPowerPlant,Power,0.0
8,GasPowerPlant,Power,-0.0
9,GasPowerPlant,Power,0.0
10,GasPowerPlant,Power,0.0
11,GasPowerPlant,Power,0.0
12,GasPowerPlant,Power,0.0
13,GasPowerPlant,Power,0.0
14,GasPowerPlant,Power,0.0
15,GasPowerPlant,Power,0.0
16,GasPowerPlant,Power,0.0
17,GasPowerPlant,Power,0.0
18,GasPowerPlant,Power,0.0
19,GasPowerPlant,Power,0.0
20,GasPowerPlant,Power,0.0
21,GasPowerPlant,Power,0.0
22,GasPowerPlant,Power,0.0
23,GasPowerPlant,Power,0.0
24,GasPowerPlant,Power,0.0
25,GasPowerPlant,Power,0.0
26,GasPowerPlant,Power,0.0
27,GasPowerPlant,Power,0.0
28,GasPowerPlant,Power,0.0
29,GasPowerPlant,Power,0.0
30,GasPowerPlant,Power,0.0
31,GasPowerPlant,Power,0.0
32,GasPowerPlant,Power,0.0
33,GasPowerPlant,Power,0.0
34,GasPowerPlant,Power,0.0
35,GasPowerPlant,Power,0.0
36,GasPowerPlant,Power,0.0
37,GasPowerPlant,Power,0.0
38,GasPowerPlant,Power,0.0
39,GasPowerPlant,Power,0.0
40,GasPowerPlant,Power,0.0
41,GasPowerPlant,Power,0.0
42,GasPowerPlant,Power,0.0
43,GasPowerPlant,Power,0.0
44,GasPowerPlant,Power,0.0
45,GasPowerPlant,Power,0.0
46,GasPowerPlant,Power,0.0
47,GasPowerPlant,Power,-0.0
48,GasPowerPlant,Power,0.0
49,GasPowerPlant,Power,0.0
50,GasPowerPlant,Power,0.0
51,GasPowerPlant,Power,0.0
52,GasPowerPlant,Power,0.0
53,GasPowerPlant,Power,0.0
54,GasPowerPlant,Power,0.0
55,GasPowerPlant,Power,0.0
56,GasPowerPlant,Power,0.0
57,GasPowerPlant,Power,0.0
58,GasPowerPlant,Power,0.0
59,GasPowerPlant,Power,0.0
60,GasPowerPlant,Power,0.0
61,GasPowerPlant,Power,0.0
62,GasPowerPlant,Power,0.0
63,GasPowerPlant,Power,0.0
64,GasPowerPlant,Power,0.0
65,GasPowerPlant,Power,0.0
66,GasPowerPlant,Power,0.0
67,GasPowerPlant,Power,0.0
68,GasPowerPlant,Power,0.0
69,GasPowerPlant,Power,0.0
70,GasPowerPlant,Power,0.0
71,GasPowerPlant,Power,0.0
72,GasPowerPlant,Power,0.0
73,GasPowerPlant,Power,0.0
74,GasPowerPlant,Power,0.0
75,GasPowerPlant,Power,0.0
76,GasPowerPlant,Power,0.0
77,GasPowerPlant,Power,0.0
78,GasPowerPlant,Power,0.0
79,GasPowerPlant,Power,0.0
80,GasPowerPlant,Power,0.0
81,GasPowerPlant,Power,0.0
82,GasPowerPlant,Power,0.0
83,GasPowerPlant,Power,0.0
84,GasPowerPlant,Power,0.0
85,GasPowerPlant,Power,0.0
86,GasPowerPlant,Power,0.0
87,GasPowerPlant,Power,0.0
88,GasPowerPlant,Power,0.0
89,GasPowerPlant,Power,0.0
90,GasPowerPlant,Power,0.0
91,GasPowerPlant,Power,0.0
92,GasPowerPlant,Power,0.0
93,GasPowerPlant,Power,0.0
94,GasPowerPlant,Power,0.0
95,GasPowerPlant,Power,0.0
96,GasPowerPlant,Power,0.0
97,GasPowerPlant,Power,0.0
98,GasPowerPlant,Power,0.0
99,GasPowerPlant,Power,0.0
100,GasPowerPlant,Power,0.0
101,GasPowerPlant,Power,0.0
102,GasPowerPlant,Power,0.0
103,GasPowerPlant,Power,0.0
104,GasPowerPlant,Power,0.0
105,GasPowerPlant,Power,0.0
106,GasPowerPlant,Power,0.0
107,GasPowerPlant,Power,0.0
108,GasPowerPlant,Power,0.0
109,GasPowerPlant,Power,0.0
110,GasPowerPlant,Power,0.0
111,GasPowerPlant,Power,0.0
112,GasPowerPlant,Power,0.0
113,GasPowerPlant,Power,0.0
114,GasPowerPlant,Power,0.0
115,GasPowerPlant,Power,0.0
